OUTLET NAME;ACCOUNT CODE;SHOP CODE;MODEL NAME;8D CODE;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;ILCE-QX1/BQ CE7;2438256;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;HDR-AS20/BC E35;2437303;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;HXR-MC2500;84351710;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;HDR-AS200VR/WE35;2438803;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;HDR-CX405;2439203;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;HDR-PJ410/BCE35;2439503;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;FDR-AX1E/BC CEE     ;2424253;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;FDR-AX100/BCE23;2431763;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;FDR-AX30/BC E35;2441403;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;FDR-AXP35/BCE35;2441703;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;FDR-X1000VR/WE35;2442503;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;NEX-VG30EH/BE34;2413479;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;NEX-VG900E/BE34;2411279;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;DSC-H400/BC E32;80815610;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;DSC-RX100 E32;80809110;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;DSC-RX10 E32;80814310;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;DSC-QX10/BC CE7;2426456;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;DSC-QX30/BC CE7;2435356;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;DSC-QX100/BCCE7;2426356;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;DSC-RX100M2 E32;80814110;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;DSC-RX100M3 E32;80816110;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;DSC-RX100M4;80816710;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;DSC-WX500/B;80816410;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;DSC-WX500/W;80816470;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;DSC-W810/BC, SF-8N4;80814610;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;DSC-W810/SC, SF-8N4;80814670;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;DSC-W830/SC E32;80815310;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;DSC-W830/BC E32;80815370;
PT JPC Indonesia;SI-ICJ203;SI-ICJ203-00001;DSC-W830/VC E32;80815410;
